targetFromSourceId	datasourceIds	evidenceCount	unnamed
ENSG00000274744	[ot_genetics_portal]	2	
ENSG00000269974	[expression_atlas]	2	
ENSG00000256031	[expression_atlas]	2	
ENSG00000262621	[ot_genetics_portal]	2	
ENSG00000256050	[expression_atlas]	2	
ENSG00000223401	[expression_atlas]	2	
ENSG00000278384	[expression_atlas]	2	
ENSG00000269899	[expression_atlas]	2	
ENSG00000260411	[expression_atlas]	2	
ENSG00000278674	[ot_genetics_portal]	2	
ENSG00000278978	[expression_atlas]	2	
ENSG00000233878	[expression_atlas]	2	
ENSG00000259610	[expression_atlas]	1	
ENSG00000251304	[expression_atlas]	1	
ENSG00000278244	[expression_atlas]	1	
ENSG00000221246	[expression_atlas]	1	
ENSG00000237404	[expression_atlas]	1	
ENSG00000228798	[expression_atlas]	1	
ENSG00000281755	[expression_atlas]	1	
ENSG00000280221	[expression_atlas]	1	
ENSG00000262601	[expression_atlas]	1	
ENSG00000281790	[expression_atlas]	1	
ENSG00000269936	[expression_atlas]	1	
ENSG00000272949	[ot_genetics_portal]	1	
ENSG00000234248	[expression_atlas]	1	
ENSG00000278294	[expression_atlas]	1	
ENSG00000281041	[expression_atlas]	1	
ENSG00000233844	[expression_atlas]	1	
ENSG00000241084	[expression_atlas]	1	
ENSG00000266859	[expression_atlas]	1	
ENSG00000216070	[expression_atlas]	1	
ENSG00000281304	[expression_atlas]	1	
ENSG00000281669	[expression_atlas]	1	
ENSG00000263913	[expression_atlas]	1	
ENSG00000259799	[expression_atlas]	1	
ENSG00000249430	[expression_atlas]	1	
ENSG00000223291	[expression_atlas]	1	
ENSG00000276795	[expression_atlas]	1	
ENSG00000272440	[expression_atlas]	1	
ENSG00000237104	[expression_atlas]	1	
ENSG00000277048	[expression_atlas]	1	
ENSG00000280361	[expression_atlas]	1	
ENSG00000221289	[expression_atlas]	1	
ENSG00000239776	[expression_atlas]	1	
ENSG00000263626	[expression_atlas]	1	
ENSG00000225704	[expression_atlas]	1	
ENSG00000279988	[expression_atlas]	1	
ENSG00000275790	[expression_atlas]	1	
ENSG00000223119	[expression_atlas]	1	
ENSG00000276751	[expression_atlas]	1	
ENSG00000221686	[expression_atlas]	1	
ENSG00000278782	[expression_atlas]	1	
ENSG00000259703	[expression_atlas]	1	
ENSG00000281662	[expression_atlas]	1	
ENSG00000212067	[expression_atlas]	1	
ENSG00000265249	[expression_atlas]	1	
ENSG00000234689	[expression_atlas]	1	
ENSG00000281291	[expression_atlas]	1	
ENSG00000278937	[expression_atlas]	1	
ENSG00000257640	[expression_atlas]	1	
ENSG00000259445	[expression_atlas]	1	
